Season,Team,WINS,LOSSES,Win %
2025-26,Oklahoma City Thunder,64,18,78.0%
2025-26,San Antonio Spurs,62,20,75.6%
2025-26,Detroit Pistons,60,22,73.2%
2025-26,Boston Celtics,56,26,68.3%
2025-26,Denver Nuggets,54,28,65.9%
2025-26,New York Knicks,53,29,64.6%
2025-26,Los Angeles Lakers,53,29,64.6%
2025-26,Cleveland Cavaliers,52,30,63.4%
2025-26,Houston Rockets,52,30,63.4%
2025-26,Minnesota Timberwolves,49,33,59.8%
2025-26,Toronto Raptors,46,36,56.1%
2025-26,Atlanta Hawks,46,36,56.1%
2025-26,Philadelphia 76ers,45,37,54.9%
2025-26,Phoenix Suns,45,37,54.9%
2025-26,Orlando Magic,45,37,54.9%
2025-26,Charlotte Hornets,44,38,53.7%
2025-26,Miami Heat,43,39,52.4%
2025-26,Portland Trail Blazers,42,40,51.2%
2025-26,LA Clippers,42,40,51.2%
2025-26,Golden State Warriors,37,45,45.1%
2025-26,Milwaukee Bucks,32,50,39.0%
2025-26,Chicago Bulls,31,51,37.8%
2025-26,New Orleans Pelicans,26,56,31.7%
2025-26,Dallas Mavericks,26,56,31.7%
2025-26,Memphis Grizzlies,25,57,30.5%
2025-26,Sacramento Kings,22,60,26.8%
2025-26,Utah Jazz,22,60,26.8%
2025-26,Brooklyn Nets,20,62,24.4%
2025-26,Indiana Pacers,19,63,23.2%
2025-26,Washington Wizards,17,65,20.7%
2024-25,Oklahoma City Thunder,68,14,82.9%
2024-25,Cleveland Cavaliers,64,18,78.0%
2024-25,Boston Celtics,61,21,74.4%
2024-25,Houston Rockets,52,30,63.4%
2024-25,New York Knicks,51,31,62.2%
2024-25,Los Angeles Lakers,50,32,61.0%
2024-25,Denver Nuggets,50,32,61.0%
2024-25,Indiana Pacers,50,32,61.0%
2024-25,LA Clippers,50,32,61.0%
2024-25,Minnesota Timberwolves,49,33,59.8%
2024-25,Milwaukee Bucks,48,34,58.5%
2024-25,Golden State Warriors,48,34,58.5%
2024-25,Memphis Grizzlies,48,34,58.5%
2024-25,Detroit Pistons,44,38,53.7%
2024-25,Orlando Magic,41,41,50.0%
2024-25,Atlanta Hawks,40,42,48.8%
2024-25,Sacramento Kings,40,42,48.8%
2024-25,Chicago Bulls,39,43,47.6%
2024-25,Dallas Mavericks,39,43,47.6%
2024-25,Miami Heat,37,45,45.1%
2024-25,Phoenix Suns,36,46,43.9%
2024-25,Portland Trail Blazers,36,46,43.9%
2024-25,San Antonio Spurs,34,48,41.5%
2024-25,Toronto Raptors,30,52,36.6%
2024-25,Brooklyn Nets,26,56,31.7%
2024-25,Philadelphia 76ers,24,58,29.3%
2024-25,New Orleans Pelicans,21,61,25.6%
2024-25,Charlotte Hornets,19,63,23.2%
2024-25,Washington Wizards,18,64,22.0%
2024-25,Utah Jazz,17,65,20.7%
2023-24,Boston Celtics,64,18,78.0%
2023-24,Oklahoma City Thunder,57,25,69.5%
2023-24,Denver Nuggets,57,25,69.5%
2023-24,Minnesota Timberwolves,56,26,68.3%
2023-24,LA Clippers,51,31,62.2%
2023-24,New York Knicks,50,32,61.0%
2023-24,Dallas Mavericks,50,32,61.0%
2023-24,Milwaukee Bucks,49,33,59.8%
2023-24,Phoenix Suns,49,33,59.8%
2023-24,New Orleans Pelicans,49,33,59.8%
2023-24,Cleveland Cavaliers,48,34,58.5%
2023-24,Orlando Magic,47,35,57.3%
2023-24,Indiana Pacers,47,35,57.3%
2023-24,Philadelphia 76ers,47,35,57.3%
2023-24,Los Angeles Lakers,47,35,57.3%
2023-24,Miami Heat,46,36,56.1%
2023-24,Sacramento Kings,46,36,56.1%
2023-24,Golden State Warriors,46,36,56.1%
2023-24,Houston Rockets,41,41,50.0%
2023-24,Chicago Bulls,39,43,47.6%
2023-24,Atlanta Hawks,36,46,43.9%
2023-24,Brooklyn Nets,32,50,39.0%
2023-24,Utah Jazz,31,51,37.8%
2023-24,Memphis Grizzlies,27,55,32.9%
2023-24,Toronto Raptors,25,57,30.5%
2023-24,San Antonio Spurs,22,60,26.8%
2023-24,Charlotte Hornets,21,61,25.6%
2023-24,Portland Trail Blazers,21,61,25.6%
2023-24,Washington Wizards,15,67,18.3%
2023-24,Detroit Pistons,14,68,17.1%
